"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT08"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2014-01-01","0.00","0.0","0.0",,"43","36",,,,,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2014-01-02","0.31","0.0","0.0",,"49","41",,,,,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2014-01-03","0.02","0.0","0.0",,"47","36",,,,,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2014-01-04","0.00","0.0","0.0",,"46","34",,,,,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2014-01-05","0.00","0.0","0.0",,"46","30",,,,,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2014-01-06","0.00","0.0","0.0",,"45","29",,,,,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2014-01-07","0.49","0.0","0.0",,"46","39",,,,,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2014-01-08","0.59","0.0","0.0",,"48","44",,,,,"    1",,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2014-01-09","0.08","0.0","0.0",,"48","41",,,,,"    1",,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2014-01-10","0.27","0.0","0.0",,"49","46",,,,,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2014-01-11","0.89","0.0","0.0",,"55","41",,,,,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2014-01-12","0.05","0.0","0.0",,"51","41",,,,,,,,,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2014-01-13","0.00","0.0","0.0",,"52","49",,,,,,,,,,
