Bill,Flags,Title,Status,Veto,Date,Original Sponsor,Committee Sponsor,Companion Bills,Last Roll Call,Latest Committee Recommendation,Secondary Sponsor,Sponsor (combined),This Committee Recommendation
HI 976,f#,Vehicle taxes and fees,H Trans,,1/21/19,People of the State of Washington,,,,,,People of the State of Washington,
HB 1000,f#,Temp. vehicle trip permits,H Trans,,1/14/19,Klippert,,,,,,Klippert,
HI 1000,f,Affirmative action,C 160 L 19,,4/28/19,People of the State of Washington,,,56-42-0-0,,,People of the State of Washington,
HB 1001,f,Service contract providers,C 16 L 19,,4/8/19,Kirby,,SB 5030(S subst for),46-0-0-3,,Vick,Kirby,
HB 1002,f#,Rape in the third degree,H subst for,,2/7/19,Orwall,,,,,Mosbrucker,Orwall,
HB 1003,f,Marijuana business siting,H Commerce & Gam,,1/14/19,Klippert,,,,,Van Werven,Klippert,
HB 1004,f,Theater licenses,H Commerce & Gam,,1/14/19,Ryu,,SB 5643(S Rules),,,Young,Ryu,
HB 1005,f#,Mobile home foreclosure sale,H Rules R,,2/14/19,Appleton,,SB 5131(S subst for),,,,Appleton,
HB 1006,f#,Underground facilities,H Approps,,2/22/19,Appleton,,,,,,Appleton,
HB 1007,,Animal shelter capital proj.,H Cap Budget,,1/14/19,Appleton,,,,,,Appleton,
HB 1008,$f#,Local gov. revenue study,H Approps,,1/25/19,Appleton,,,,,Pollet,Appleton,
HB 1009,fd,State auditor,H subst for,,3/1/19,Dolan,,SB 5009(S State Govt/Tri),,,Kirby,Dolan,
HB 1010,f,Forfeited firearms/WSP,H Rules C,,3/21/19,Senn,,,,,Lovick,Senn,
HB 1011,f#,Working forests/real estate,C 17 L 19,,4/8/19,Reeves,,,46-0-0-3,,Barkis,Reeves,
HB 1012,f,Child passenger restraint,H subst for,,2/7/19,Bergquist,,,,,Barkis,Bergquist,
HB 1013,f#,Walla Walla watershed pilot,H Rules C,,3/21/19,Jenkin,,SB 5352(S subst for),,,Blake,Jenkin,
HB 1014,,Motorcycle operators,C 60 L 19,,4/19/19,Jenkin,,,42-1-0-6,,Kirby,Jenkin,
HB 1015,,Real estate appraisals,H Civil R & Judi,,1/14/19,Jenkin,,,,,Kirby,Jenkin,
HB 1016,af#,Sexual assault kit notice,Del to Gov,,4/27/19,Caldier,,SB 5910(S Health & Long),94-0-0-4,,Cody,Caldier,
HB 1017,,Health carrier salaries,H HC/Wellness,,1/14/19,Caldier,,,,,Cody,Caldier,
HB 1018,f,Dental insurance practices,H Approps,,2/8/19,Caldier,,,,,Cody,Caldier,
HB 1019,,Vaccination/antibody testing,H HC/Wellness,,1/14/19,Young,,SB 5365(S Ways & Means),,,DeBolt,Young,
HB 1020,f,County road admin. board,C 22 L 19,,4/17/19,Eslick,,,47-0-0-2,,Stanford,Eslick,
HB 1021,f,Governor's security funding,H Approps,,1/14/19,Walsh,,,,,Stokesbary,Walsh,
HB 1022,,Pistol sales database,H Civil R & Judi,,1/14/19,Walsh,,,,,Shea,Walsh,
HB 1023,f,"Adult family homes, 8 beds",H subst for,,2/7/19,Macri,,SB 5396(S Health & Long),,,Harris,Macri,
HB 1024,f,Firearm owners database,H Civil R & Judi,,1/14/19,Walsh,,,,,Blake,Walsh,
HB 1025,f#,Horse slaughter,H Public Safety,,1/14/19,Appleton,,,,,,Appleton,
HB 1026,,Breed-based dog regulations,C 199 L 19,,4/30/19,Appleton,,,25-23-0-1,,Fitzgibbon,Appleton,
HB 1027,f,Quick title service fees,H Trans,,1/14/19,Shea,,,,,,Shea,
HB 1028,#,Off-road vehicles/local gov.,H subst for,,2/14/19,Shea,,,,,Kraft,Shea,
HB 1029,,Environmental impact process,H Env & Energy,,1/14/19,Walsh,,,,,Irwin,Walsh,
HB 1030,,False legislative testimony,H State Govt & T,,1/14/19,Walsh,,,,,Shea,Walsh,
HB 1031,f#,Bulkhead obligations,H Rules C,,3/21/19,Walsh,,,,,Irwin,Walsh,
HB 1032,,Initiative amendatory format,H State Govt & T,,1/14/19,Walsh,,,,,Rude,Walsh,
HB 1033,f,Mobile home relocation asst.,H subst for,,3/5/19,Ryu,,SB 5183(S subst for),,,Barkis,Ryu,
HB 1034,f,Restaurant soju endorsement,H subst for,,3/1/19,Ryu,,SB 5020(S Rules X),,,Pellicciotti,Ryu,
HB 1035,f#,School resource officers,H Approps,,1/14/19,Walsh,,,,,Kraft,Walsh,
HB 1036,,Fish hatchery production,"H RDev, Ag&NR",,1/14/19,Walsh,,,,,,Walsh,
HB 1037,,Aquaculture chemicals,H Env & Energy,,1/14/19,Walsh,,,,,,Walsh,
HB 1038,,Firearms/school employees,H Civil R & Judi,,1/14/19,Walsh,,,,,Shea,Walsh,
HB 1039,f,Opioid medications/schools,H subst for,,3/4/19,Pollet,,,,,Cody,Pollet,
HB 1040,fo,Natural disaster mitigation,H Approps,,1/25/19,Reeves,,SB 5106(S subst for),,,Stanford,Reeves,
HB 1041,f#,Certificates of discharge,H subst for,,3/1/19,Hansen,,,,,Irwin,Hansen,
HB 1042,f,DOC/interest arbitration,H Rules R,,2/22/19,Blake,,SB 5021(S subst for),,,Griffey,Blake,
HB 1043,f,Uniformed personnel arbitrat,H Rules R,,2/18/19,Goodman,,,,,Irwin,Goodman,
HB 1044,f#,Seniors/property taxes,H Finance,,1/14/19,Santos,,,,,Slatter,Santos,
HB 1045,,Gray wolves/lethal removal,"H RDev, Ag&NR",,1/14/19,Appleton,,,,,,Appleton,
HB 1046,,Hunting with the aid of dogs,"H RDev, Ag&NR",,1/14/19,Appleton,,,,,,Appleton,
HB 1047,,Limited jdx. court comm'rs,H Rules C,,3/21/19,Jinkins,,SB 5622(C 52 L 19),,,Stokesbary,Jinkins,
HB 1048,f#,Small claims court judgments,H subst for,,3/11/19,Goodman,,,,,Stokesbary,Goodman,
HB 1049,,Health care whistleblowers,H subst for,,3/7/19,Macri,,SB 5401(S Health & Long),,,Stokesbary,Macri,
HB 1050,,Parenting plans,H Civil R & Judi,,1/14/19,Walsh,,,,,Shea,Walsh,
HB 1051,,GMA focus on large counties,H Env & Energy,,1/14/19,Walsh,,,,,Young,Walsh,
HB 1052,,Agency rule-making authority,H State Govt & T,,1/14/19,Walsh,,,,,Shea,Walsh,
HB 1053,f,Feminine hygiene/sales tax,H Rules R,,2/28/19,Reeves,,,,,Peterson,Reeves,
HB 1054,f#,Diaper sales and use tax ex.,H Finance,,1/14/19,Reeves,,,,,Peterson,Reeves,
HB 1055,f#,No-contact orders/arrest,C 18 L 19,,4/8/19,Entenman,,,46-0-0-3,,Orwall,Entenman,
EHB 1056,f,Domestic violence/workplace,H Rules 3C,,4/28/19,Mosbrucker,,,97-0-0-1,,Orwall,Mosbrucker,
HB 1057,f,School bus safety,H Approps,,2/20/19,Mosbrucker,,,,,Orwall,Mosbrucker,
EHB 1058,,Motorcycle parking methods,H Rules 3C,,4/28/19,Irwin,,,94-0-0-4,,Blake,Irwin,
HB 1059,f#,B&O return filing due date,H subst for,,3/11/19,Van Werven,,,,,Kraft,Van Werven,
HB 1060,,Medical marijuana/students,H HC/Wellness,,1/14/19,Blake,,,,,Kloba,Blake,
HB 1061,,State clam,H Rules 3C,,4/28/19,Blake,,,98-0-0-0,,Walsh,Blake,
HB 1062,f,Commercial fishing access,C 200 L 19,,4/30/19,Blake,,,48-0-0-1,,Walsh,Blake,
HB 1063,f#,Primary elections/age 17,H Rules R,,2/13/19,Bergquist,,,,,Stonier,Bergquist,
HB 1064,f#,Law enforcement,H subst for,,1/24/19,Goodman,,SB 5029(S Rules X),,,Klippert,Goodman,
